Setting,RecommendedValue
Access Credential Manager as a trusted caller,"No One"
Access this computer from the network,"Administrators, Authenticated Users, ENTERPRISE DOMAIN CONTROLLERS"
Act as part of the operating system,"No One"
Add workstations to domain,"Administrators"
Adjust memory quotas for a process,"Administrators, LOCAL SERVICE, NETWORK SERVICE"
Allow log on locally,"Administrators"
Allow log on through Remote Desktop Services,"Administrators"
Back up files and directories,"Administrators"
Change the system time,"Administrators, LOCAL SERVICE"
Change the time zone,"Administrators, LOCAL SERVICE"
Create a pagefile,"Administrators"
Create a token object,"No One"
Create global objects,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
Create permanent shared objects,"No One"
Create symbolic links,"Administrators"
Debug programs,"Administrators"
Enable computer and user accounts to be trusted for delegation,"Administrators"
Force shutdown from a remote system,"Administrators"
Generate security audits,"LOCAL SERVICE, NETWORK SERVICE"
Impersonate a client after authentication,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
Increase scheduling priority,"Administrators, Window Manager \Window Manager Group"
Load and unload device drivers,"Administrators"
Lock pages in memory,"No One"
Manage auditing and security log,"Administrators"
Modify an object label,"No One"
Modify firmware environment values,"Administrators"
Perform volume maintenance tasks,"Administrators"
Profile single process,"Administrators"
Profile system performance,"Administrators, NT SERVICE \WdiServiceHost"
Replace a process level token,"LOCAL SERVICE, NETWORK SERVICE"
