Setting,RecommendedValue
Enforce password history,"24 or more password(s)"
Maximum password age,"365 or fewer days, but not 0"
Minimum password age,"1 or more day(s)"
Minimum password length,"14 or more character(s)"
Password must meet complexity requirements,"Enabled"
Store passwords using reversible encryption,"Disabled"
Account lockout duration,"15 or more minute(s)"
Account lockout threshold,"5 or fewer invalid logon attempt(s), but not 0"
Allow Administrator account lockout,"Enabled"
Reset account lockout counter after,"15 or more minute(s)"
Access Credential Manager as a trusted caller,"No One"
Access this computer from the network,"Administrators, Authenticated Users"
Act as part of the operating system,"No One"
Add workstations to domain,"Administrators"
Adjust memory quotas for a process,"Administrators, LOCAL SERVICE, NETWORK SERVICE"
Allow log on locally,"Administrators"
Allow log on through Remote Desktop Services,"Administrators, Remote Desktop Users"
Back up files and directories,"Administrators"
Change the system time,"Administrators, LOCAL SERVICE"
Change the time zone,"Administrators, LOCAL SERVICE"
Create a pagefile,"Administrators"
Create a token object,"No One"
Create global objects,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
Create permanent shared objects,"No One"
Create symbolic links,"Administrators, NT VIRTUAL MACHINE \Virtual Machines"
Debug programs,"Administrators"
Enable computer and user accounts to be trusted for delegation,"No One"
Force shutdown from a remote system,"Administrators"
Generate security audits,"LOCAL SERVICE, NETWORK SERVICE"
Impersonate a client after authentication,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
