Policy name,Value,Recommended Value,ConstantName
Minimum password age,0,1 or more day(s),MinimumPasswordAge
Maximum password age,42,"365 or fewer days, but not 0",MaximumPasswordAge
Minimum password length,0,14 or more character(s),MinimumPasswordLength
Account lockout threshold,0,"5 or fewer invalid logon attempt(s), but not 0",LockoutBadCount
Interactive logon: Prompt user to change password before expiration,"4,5",between 5 and 14 days,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\PasswordExpiryWarning
Interactive logon: Smart card removal behavior,"1,""0""",Lock Workstation,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ScRemoveOption
Audit: Shut down system immediately if unable to log security audits,"4,0",0,MACHINE\System\CurrentControlSet\Control\Lsa\CrashOnAuditFail
Network access: Do not allow storage of passwords and credentials for network authentication,"4,0",1,MACHINE\System\CurrentControlSet\Control\Lsa\DisableDomainCreds
Network access: Let Everyone permissions apply to anonymous users,"4,0",0,MACHINE\System\CurrentControlSet\Control\Lsa\EveryoneIncludesAnonymous
Network access: Sharing and security model for local accounts,"4,0",Classic - local users authenticate as themselves,MACHINE\System\CurrentControlSet\Control\Lsa\ForceGuest
Accounts: Limit local account use of blank passwords to console logon only,"4,1",1,MACHINE\System\CurrentControlSet\Control\Lsa\LimitBlankPasswordUse
Network security: Minimum session security for NTLM SSP based (including secure RPC) clients,"4,536870912","Require NTLMv2 session security, Require 128 -bit encryption",MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinClientSec
Network security: Minimum session security for NTLM SSP based (including secure RPC) servers,"4,536870912","Require NTLMv2 session security, Require 128 -bit encryption",MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinServerSec
Network security: Do not store LAN Manager hash value on next password change,"4,1",1,MACHINE\System\CurrentControlSet\Control\Lsa\NoLMHash
Network access: Do not allow anonymous enumeration of SAM accounts and shares,"4,0",1,MACHINE\System\CurrentControlSet\Control\Lsa\RestrictAnonymous
Network access: Do not allow anonymous enumeration of SAM accounts,"4,1",1,MACHINE\System\CurrentControlSet\Control\Lsa\RestrictAnonymousSAM
