Group Policy Setting,Constant Name
Access Credential Manager as a trusted caller,SeTrustedCredManAccessPrivilege
Access this computer from the network,SeNetworkLogonRight
Act as part of the operating system,SeTcbPrivilege
Add workstations to domain,SeMachineAccountPrivilege
Adjust memory quotas for a process,SeIncreaseQuotaPrivilege
Allow log on locally,SeInteractiveLogonRight
Allow log on through Remote Desktop Services,SeRemoteInteractiveLogonRight
Back up files and directories,SeBackupPrivilege
Bypass traverse checking,SeChangeNotifyPrivilege
Change the system time,SeSystemtimePrivilege
Change the time zone,SeTimeZonePrivilege
Create a pagefile,SeCreatePagefilePrivilege
Create a token object,SeCreateTokenPrivilege
Create global objects,SeCreateGlobalPrivilege
Create permanent shared objects,SeCreatePermanentPrivilege
Create symbolic links,SeCreateSymbolicLinkPrivilege
Debug programs,SeDebugPrivilege
Deny access to this computer from the network,SeDenyNetworkLogonRight
Deny log on as a batch job,SeDenyBatchLogonRight
Deny log on as a service,SeDenyServiceLogonRight
Deny log on locally,SeDenyInteractiveLogonRight
Deny log on through Remote Desktop Services,SeDenyRemoteInteractiveLogonRight
Enable computer and user accounts to be trusted for delegation,SeEnableDelegationPrivilege
Force shutdown from a remote system,SeRemoteShutdownPrivilege
Generate security audits,SeAuditPrivilege
Impersonate a client after authentication,SeImpersonatePrivilege
Increase a process working set,SeIncreaseWorkingSetPrivilege
Increase scheduling priority,SeIncreaseBasePriorityPrivilege
Load and unload device drivers,SeLoadDriverPrivilege
Lock pages in memory,SeLockMemoryPrivilege
Log on as a batch job,SeBatchLogonRight
Log on as a service,SeServiceLogonRight
Manage auditing and security log,SeSecurityPrivilege
Modify an object label,SeRelabelPrivilege
Modify firmware environment values,SeSystemEnvironmentPrivilege
Obtain an impersonation token for another user in the same session,SeDelegateSessionUserImpersonatePrivilege
Perform volume maintenance tasks,SeManageVolumePrivilege
Profile single process,SeProfileSingleProcessPrivilege
Profile system performance,SeSystemProfilePrivilege
Remove computer from docking station,SeUndockPrivilege
Replace a process level token,SeAssignPrimaryTokenPrivilege
Restore files and directories,SeRestorePrivilege
Shut down the system,SeShutdownPrivilege
Synchronize directory service data,SeSyncAgentPrivilege
Take ownership of files or other objects,SeTakeOwnershipPrivilege
Accounts: Limit local account use of blank passwords to console logon only,MACHINE\System\CurrentControlSet\Control\Lsa\LimitBlankPasswordUse
Audit: Audit the accesss of global system objects,MACHINE\System\CurrentControlSet\Control\Lsa\AuditBaseObjects
Audit: Audit the use of Backup and Restore privilege,MACHINE\System\CurrentControlSet\Control\Lsa\FullPrivilegeAuditing
Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings,MACHINE\System\CurrentControlSet\Control\Lsa\SCENoApplyLegacyAuditPolicy
Audit: Shut down system immediately if unable to log security audits,MACHINE\System\CurrentControlSet\Control\Lsa\CrashOnAuditFail
DCOM: Machine Access Restrictions in Security Descriptor Definition Language (SDDL) syntax,MACHINE\SOFTWARE\policies\Microsoft\windows NT\DCOM\MachineAccessRestriction
DCOM: Machine Launch Restrictions in Security Descriptor Definition Language (SDDL) syntax,MACHINE\SOFTWARE\policies\Microsoft\windows NT\DCOM\MachineLaunchRestriction
Devices: Allow undock without having to log on,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\UndockWithoutLogon
Devices: Allowed to format and eject removable media,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AllocateDASD
Devices: Prevent users from installing printer drivers,MACHINE\System\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers\AddPrinterDrivers
Devices: Restrict CD-ROM access to locally logged-on user only,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AllocateCDRoms
Devices: Restrict floppy access to locally logged-on user only,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AllocateFloppies
Domain controller: Allow server operators to schedule tasks,MACHINE\System\CurrentControlSet\Control\Lsa\SubmitControl
Domain controller: LDAP server signing requirements,MACHINE\System\CurrentControlSet\Services\NTDS\Parameters\LDAPServerIntegrity
Domain controller: Refuse machine account password changes,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\RefusePasswordChange
Domain member: Digitally encrypt or sign secure channel data (always),MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\RequireSignOrSeal
Domain member: Digitally encrypt secure channel data (when possible),MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\SealSecureChannel
Domain member: Digitally sign secure channel data (when possible) ,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\SignSecureChannel
Domain member: Disable machine account password changes,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\DisablePasswordChange
Domain member: Maximum machine account password age,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\MaximumPasswordAge
Domain member: Require strong (Windows 2000 or later) session key,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\RequireStrongKey
Interactive Logon: Display user information when session is locked,"Machine\Software\Microsoft\Windows\CurrentVersion\Policies\System, value=DontDisplayLockedUserId"
Interactive logon: Do not require CTRL+ALT+DEL,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DisableCAD
Interactive logon: Don't display last signed-in,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DontDisplayLastUserName
Interactive logon: Don't display username at sign-in,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DontDisplayLastUserName
Enforce password history,
Maximum password age,MaximumPasswordAge
Minimum password age,MinimumPasswordAge
Minimum password length,MinimumPasswordLength
Password must meet complexity requirement,PasswordComplexity
Store passwords using reversible encryption for all users in the domain,ClearTextPassword
Account lockout duration,
Account lockout threshold,LockoutBadCount
Reset lockout counter after,
Audit account logon events,AuditLogonEvents
Audit account management,AuditAccountManage
Audit directory service access,AuditDSAccess
Audit logon events,AuditAccountLogon
Audit object access,AuditObjectAccess
Audit policy change,AuditPolicyChange
Audit privilege use,AuditPrivilegeUse
Audit process tracking,AuditProcessTracking
Audit system events,AuditSystemEvents
Interactive logon: Message text for users attempting to logon,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\LegalNoticeText
Interactive logon: Message title for users attempting to logon,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\LegalNoticeCaption
Interactive logon: Number of previous logons to cache (in case domain controller is not available),MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\CachedLogonsCount 
Interactive logon: Prompt user to change password before expiration,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\PasswordExpiryWarning
Interactive logon: Require Domain Controller authentication to unlock workstation,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ForceUnlockLogon
Interactive logon: Require smart card,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ScForceOption
Interactive logon: Smart card removal behavior,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ScRemoveOption
Microsoft network client: Digitally sign communications (always),MACHINE\System\CurrentControlSet\Services\LanmanWorkstation\Parameters\RequireSecuritySignature
Microsoft network client: Digitally sign communications (if server agrees) ,MACHINE\System\CurrentControlSet\Services\LanmanWorkstation\Parameters\EnableSecuritySignature
Microsoft network client: Send unencrypted password to third-party SMB servers,MACHINE\System\CurrentControlSet\Services\LanmanWorkstation\Parameters\EnablePlainTextPassword
